

35	File:run_cdc.tcl::11	Time:0.01684	CpuTime:0.01	 Malloc-MB:0
36	File:run_cdc.tcl::11	Time:0.016798	CpuTime:0.02	 Malloc-MB:0
37	File:run_cdc.tcl::11	Time:0.016738	CpuTime:0.02	 Malloc-MB:0
38	File:run_cdc.tcl::11	Time:0.016729	CpuTime:0.02	 Malloc-MB:0
39	File:run_cdc.tcl::11	Time:0.016605	CpuTime:0.02	 Malloc-MB:0
40	File:run_cdc.tcl::11	Time:0.016588	CpuTime:0.02	 Malloc-MB:0
41	File:run_cdc.tcl::11	Time:0.016498	CpuTime:0.02	 Malloc-MB:0
42	File:run_cdc.tcl::11	Time:0.016403	CpuTime:0.02	 Malloc-MB:0
43	File:run_cdc.tcl::11	Time:0.01636	CpuTime:0.02	 Malloc-MB:0
44	File:run_cdc.tcl::11	Time:0.016184	CpuTime:0.01	 Malloc-MB:0
45	File:run_cdc.tcl::11	Time:0.016182	CpuTime:0.02	 Malloc-MB:0
46	File:run_cdc.tcl::11	Time:0.016179	CpuTime:0.02	 Malloc-MB:0
47	File:run_cdc.tcl::11	Time:0.015852	CpuTime:0.01	 Malloc-MB:0
48	File:run_cdc.tcl::11	Time:0.015793	CpuTime:0.02	 Malloc-MB:0
49	File:run_cdc.tcl::11	Time:0.015461	CpuTime:0.01	 Malloc-MB:0
50	File:run_cdc.tcl::11	Time:0.01537	CpuTime:0.01	 Malloc-MB:0
51	File:run_cdc.tcl::11	Time:0.015304	CpuTime:0.01	 Malloc-MB:0
52	File:run_cdc.tcl::11	Time:0.015222	CpuTime:0.02	 Malloc-MB:0
53	File:run_cdc.tcl::11	Time:0.015215	CpuTime:0.02	 Malloc-MB:0
54	File:run_cdc.tcl::11	Time:0.015208	CpuTime:0.01	 Malloc-MB:0
55	File:run_cdc.tcl::11	Time:0.01492	CpuTime:0.01	 Malloc-MB:0
56	File:run_cdc.tcl::11	Time:0.0148	CpuTime:0.01	 Malloc-MB:0
57	File:run_cdc.tcl::11	Time:0.014427	CpuTime:0.02	 Malloc-MB:0
58	File:run_cdc.tcl::11	Time:0.013957	CpuTime:0.01	 Malloc-MB:0
