M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   before UserNetBitQuasi : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  UserNetBitQuasi : UserNetBit Quasi count: 0 M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before UserPinBitQuasi : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  UserPinBitQuasi : UserPinBit Quasi count: 0 M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before UserOpPinBitQuasi : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  UserOpPinBitQuasi : UserOpPinBit Quasi count: 0 M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before QueueQuasiNetBits : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  QueueQuasiNetBits : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: after  QuasiStaticPropagation : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: before evaluateGenClocksForBlockedPaths: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: after  evaluateGenClocksForBlockedPaths: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: before CDC Checks: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before Raise Accumulated Limit : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  Raise Accumulated Limit : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Initialize cdc attributes : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Initialize cdc attributes : M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Auto inferring Quasi-static Signals M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Auto inferring Quasi-static Signals M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Clock setup: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before CDC :: SETUP_CLOCK_OVERLAP: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  CDC :: SETUP_CLOCK_OVERLAP: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Clock setup: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: CGC detection: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: CGC detection: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Reset setup: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before Rst: Build Reset Sense DB M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  Rst: Build Reset Sense DB M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before Rst: Build Async ResetTree: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  Rst: Build Async ResetTree: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before Rst: Build Sync ResetTree: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  Rst: Build Sync ResetTree: M=2097.36mb, Malloc-M=547mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Reset setup: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Populate default domain: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Populate default domain: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: SETUP_DOMAIN_INFER: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: SETUP_DOMAIN_INFER: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Blackbox Modelling: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Blackbox Modelling: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: CDC Ignore Path Constraints ProcessingM=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: CDC Ignore Path Constraints ProcessingM=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: CDC Clockglitch Ignore Path Constraints ProcessingM=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: CDC Clockglitch Ignore Path Constraints ProcessingM=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: CDC Asyncrst Ignore Path Constraints ProcessingM=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: CDC Asyncrst Ignore Path Constraints ProcessingM=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Setup Check (Setup_port01, Setup_library01): M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before CDC :: SETUP_LIBCELL: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  CDC :: SETUP_LIBCELL: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before CDC :: SETUP_PORT: M=2097.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   |   before CDC :: SETUP_INPUT_MULTICLK_LOAD: M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   |   after  CDC :: SETUP_INPUT_MULTICLK_LOAD: M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   after  CDC :: SETUP_PORT: M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   after  CDC :: Setup Check (Setup_port01, Setup_library01): M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   before CDC :: Setup Check (Rest): M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   before CDC :: Setup Checks analysis: M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   |   before CDC :: Setting stack size 200000000 for 4 multi-threaded checks. M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   |   |   before StackSizeChange 104857600 ==> 200000000 M=2101.36mb, Malloc-M=548mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
STATS:: |   |   |   |   after  StackSizeChange 104857600 ==> 200000000 M=2464.32mb, Malloc-M=545mb, Available-M=24390mb, T=0s CPU=0s W=(2026-06-14 21:38:17)
