STATS:: after Query DB for Data View:  :  M=3916.609mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3916.609mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3916.609mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3916.609mb, T=0s
STATS:: after Query DB for Data View:  :  M=3917.336mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3917.578mb, T=0s
STATS:: after Show Data View Record:  :  M=3917.578mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3925.082mb, T=0s
STATS:: after Show Data View Record:  :  M=3925.082mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3924.230mb, T=0s
STATS:: after Show Data View Record:  :  M=3924.230mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3928.020mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3928.020mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3928.020mb, T=0s
STATS:: after Query DB for Data View:  :  M=3929.996mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3929.996mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3929.996mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3929.996mb, T=0s
STATS:: after Query DB for Data View:  :  M=3931.973mb, T=0.000s
STATS:: before Show Data View Record:  :  M=3932.820mb, T=0s
STATS:: after Show Data View Record:  :  M=3932.820mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3935.277mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3935.277mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3935.277mb, T=0s
STATS:: after Query DB for Data View:  :  M=3937.012mb, T=0.000s
STATS:: before Generate group information by DataModel Worker :  M=3937.012mb, T=0s
STATS:: after Generate group information by DataModel Worker :  M=3937.012mb, T=0.000s
STATS:: before Query DB for Data View:  :  M=3937.012mb, T=0s
STATS:: after Query DB for Data View:  :  M=3938.867mb, T=0.000s
