

### analyze	Num_calls 1	Total_time 1.50264	Total_CpuTime 0.31	Total malloc-M 2
1	File:run_lint.tcl::20	Time:1.50264	CpuTime:0.31	 Malloc-MB:2
36	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::51	Time:0.008932	CpuTime:0.01	 Malloc-MB:0
37	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::106	Time:0.008894	CpuTime:0.01	 Malloc-MB:0
38	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::43	Time:0.008881	CpuTime:0.01	 Malloc-MB:0
39	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::71	Time:0.008749	CpuTime:0.01	 Malloc-MB:0
40	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::82	Time:0.008677	CpuTime:0.01	 Malloc-MB:0
41	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::105	Time:0.008672	CpuTime:0.01	 Malloc-MB:0
42	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::136	Time:0.008663	CpuTime:0.01	 Malloc-MB:0
43	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::117	Time:0.008662	CpuTime:0.00	 Malloc-MB:0
44	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::79	Time:0.008612	CpuTime:0.01	 Malloc-MB:0
45	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::160	Time:0.008577	CpuTime:0.01	 Malloc-MB:0
46	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::97	Time:0.008556	CpuTime:0.01	 Malloc-MB:0
47	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::140	Time:0.00852	CpuTime:0.00	 Malloc-MB:0
48	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::110	Time:0.008511	CpuTime:0.00	 Malloc-MB:0
49	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::84	Time:0.008497	CpuTime:0.01	 Malloc-MB:0
50	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::86	Time:0.008475	CpuTime:0.01	 Malloc-MB:0
51	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::119	Time:0.008429	CpuTime:0.01	 Malloc-MB:0
52	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::139	Time:0.008402	CpuTime:0.01	 Malloc-MB:0
53	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::42	Time:0.008375	CpuTime:0.01	 Malloc-MB:0
54	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::156	Time:0.008307	CpuTime:0.01	 Malloc-MB:0
55	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::77	Time:0.008274	CpuTime:0.00	 Malloc-MB:0
56	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::91	Time:0.008271	CpuTime:0.00	 Malloc-MB:0
57	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::41	Time:0.008268	CpuTime:0.00	 Malloc-MB:0
58	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::27	Time:0.008265	CpuTime:0.01	 Malloc-MB:0
59	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::73	Time:0.008219	CpuTime:0.01	 Malloc-MB:0
60	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::12	Time:0.008218	CpuTime:0.01	 Malloc-MB:0
61	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::52	Time:0.008193	CpuTime:0.00	 Malloc-MB:0
62	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::25	Time:0.00819	CpuTime:0.01	 Malloc-MB:0
63	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::161	Time:0.008128	CpuTime:0.00	 Malloc-MB:0
64	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::88	Time:0.008094	CpuTime:0.00	 Malloc-MB:0
65	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::153	Time:0.008091	CpuTime:0.01	 Malloc-MB:0
66	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::154	Time:0.008058	CpuTime:0.01	 Malloc-MB:0
67	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::118	Time:0.008046	CpuTime:0.01	 Malloc-MB:0
68	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::96	Time:0.008037	CpuTime:0.01	 Malloc-MB:0
69	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::120	Time:0.008027	CpuTime:0.01	 Malloc-MB:0
70	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::137	Time:0.008012	CpuTime:0.01	 Malloc-MB:0
71	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::129	Time:0.008008	CpuTime:0.00	 Malloc-MB:0
72	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::4	Time:0.008004	CpuTime:0.00	 Malloc-MB:0
73	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::85	Time:0.007989	CpuTime:0.01	 Malloc-MB:0
74	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::112	Time:0.007974	CpuTime:0.00	 Malloc-MB:0
75	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::141	Time:0.007956	CpuTime:0.01	 Malloc-MB:0
