

### analyze	Num_calls 1	Total_time 0.390147	Total_CpuTime 0.28	Total malloc-M 2
1	File:run_lint.tcl::20	Time:0.390147	CpuTime:0.28	 Malloc-MB:2
39	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::27	Time:0.008327	CpuTime:0.01	 Malloc-MB:0
40	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::33	Time:0.008311	CpuTime:0.00	 Malloc-MB:0
41	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::73	Time:0.008308	CpuTime:0.01	 Malloc-MB:0
42	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::161	Time:0.008301	CpuTime:0.01	 Malloc-MB:0
43	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::83	Time:0.008267	CpuTime:0.00	 Malloc-MB:0
44	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::95	Time:0.008266	CpuTime:0.01	 Malloc-MB:0
45	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::82	Time:0.008256	CpuTime:0.00	 Malloc-MB:0
46	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::170	Time:0.00825	CpuTime:0.01	 Malloc-MB:0
47	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::11	Time:0.008188	CpuTime:0.01	 Malloc-MB:0
48	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::36	Time:0.00815	CpuTime:0.01	 Malloc-MB:0
49	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::98	Time:0.008139	CpuTime:0.01	 Malloc-MB:0
50	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::81	Time:0.008136	CpuTime:0.01	 Malloc-MB:0
51	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::162	Time:0.008133	CpuTime:0.01	 Malloc-MB:0
52	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::106	Time:0.008125	CpuTime:0.00	 Malloc-MB:0
53	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::58	Time:0.008118	CpuTime:0.01	 Malloc-MB:0
54	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::38	Time:0.008111	CpuTime:0.01	 Malloc-MB:0
55	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::6	Time:0.008108	CpuTime:0.01	 Malloc-MB:0
56	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::23	Time:0.008104	CpuTime:0.01	 Malloc-MB:0
57	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::10	Time:0.008097	CpuTime:0.01	 Malloc-MB:0
58	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::20	Time:0.008091	CpuTime:0.01	 Malloc-MB:0
59	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::130	Time:0.008081	CpuTime:0.01	 Malloc-MB:0
60	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::157	Time:0.008075	CpuTime:0.01	 Malloc-MB:0
61	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::164	Time:0.008074	CpuTime:0.01	 Malloc-MB:0
62	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::117	Time:0.008073	CpuTime:0.01	 Malloc-MB:0
63	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::84	Time:0.008066	CpuTime:0.01	 Malloc-MB:0
64	File:/tools/Synopsys/vc_static/X-2025.06/auxx/monet/tcl/GuideWare/block/initial_rtl/lint/lint_rtl_enhanced.tcl::25	Time:0.008062	CpuTime:0.01	 Malloc-MB:0
